Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross,Platform
The Death of Stalin,Movie,2018-03-09,6420.0,Comedy,2.0,88.0,7.2,106442,tt4686844,13000000.0,24646055.0,others
The Leisure Seeker,Movie,2018-01-03,6720.0,Adventure,,45.0,6.7,9238,tt3741632,,10472180.0,others
The Hurricane Heist,Movie,2018-03-09,6180.0,Action,,35.0,5.1,21441,tt5360952,35000000.0,32517248.0,others
Tomb Raider,Movie,2018-03-16,7140.0,Action,,48.0,6.3,218713,tt1365519,94000000.0,274650803.0,others
"Love, Simon",Movie,2018-03-16,6600.0,Comedy,,72.0,7.5,118549,tt5164432,17000000.0,66719009.0,others
I Can Only Imagine,Movie,2018-03-16,6600.0,Biography,,30.0,7.3,16926,tt6450186,7000000.0,86086881.0,others
7 Days in Entebbe,Movie,2018-03-16,6420.0,Action,,49.0,5.9,16389,tt5466186,,8771432.0,others
Josie,Movie,2018-03-16,6000.0,Drama,,31.0,5.2,3380,tt4682780,,,others
Flower,Movie,2018-03-16,5400.0,Comedy,,45.0,6.0,9752,tt2582784,,380553.0,others
Pacific Rim: Uprising,Movie,2018-03-23,6660.0,Action,,44.0,5.6,120600,tt2557478,150000000.0,290930148.0,others
Isle of Dogs,Movie,2018-04-13,6060.0,Animation,2.0,82.0,7.8,175573,tt5104604,,64337744.0,others
Unsane,Movie,2018-03-23,5880.0,Drama,,63.0,6.4,47908,tt7153766,1500000.0,14293601.0,others
"Paul, Apostle of Christ",Movie,2018-03-23,6480.0,Adventure,,52.0,6.6,9044,tt7388562,5000000.0,25915966.0,others
Final Portrait,Movie,2018-03-23,5400.0,Biography,,70.0,6.2,5827,tt4494718,,1677835.0,others
Midnight Sun,Movie,2018-03-23,5460.0,Drama,,38.0,6.6,33107,tt4799066,2800000.0,27365467.0,others
Ready Player One,Movie,2018-03-29,8400.0,Action,1.0,64.0,7.4,449794,tt1677720,175000000.0,592241728.0,others
God's Not Dead: A Light in Darkness,Movie,2018-03-30,6300.0,Drama,,33.0,4.4,4217,tt6652708,,7414178.0,others
Gemini,Movie,2018-03-30,5580.0,Crime,,71.0,5.4,5346,tt5795086,,200340.0,others
The Last Movie Star,Movie,2018-03-30,5640.0,Drama,,46.0,7.0,4602,tt5836316,,14410.0,others
A Quiet Place,Movie,2018-04-06,5400.0,Drama,1.0,82.0,7.5,545301,tt6644200,17000000.0,340952971.0,others
Blockers,Movie,2018-04-06,6120.0,Comedy,,69.0,6.2,81628,tt2531344,21000000.0,94019120.0,others
Chappaquiddick,Movie,2018-04-06,6360.0,Biography,,67.0,6.4,13965,tt5270948,13000000.0,18263470.0,others
Lean on Pete,Movie,2018-05-04,7260.0,Adventure,,80.0,7.2,13254,tt5340300,,2443584.0,others
The Miracle Season,Movie,2018-04-06,6060.0,Drama,,44.0,6.5,5803,tt5427194,,10230620.0,others
Beirut,Movie,2018-04-11,6540.0,Action,,69.0,6.5,23406,tt4669264,,7509436.0,others
Rampage,Movie,2018-04-13,6420.0,Action,,45.0,6.1,173894,tt2231461,120000000.0,428028233.0,others
Truth or Dare,Movie,2018-04-13,6000.0,Horror,,35.0,5.2,58664,tt6772950,3500000.0,95330710.0,others
The Rider,Movie,2018-04-13,6240.0,Drama,,91.0,7.4,19777,tt6217608,,3436124.0,others
I Feel Pretty,Movie,2018-04-20,6600.0,Comedy,,48.0,5.6,55239,tt6791096,32000000.0,94539426.0,others
Super Troopers 2,Movie,2018-04-20,5940.0,Comedy,,41.0,6.0,27316,tt0859635,13500000.0,31626386.0,others
Traffik,Movie,2018-04-20,5760.0,Action,,37.0,5.9,20877,tt5670152,4000000.0,9515914.0,others
Liz and the Blue Bird,Movie,2018-04-21,5400.0,Animation,,67.0,7.1,1905,tt7089878,,737286.0,others
Avengers: Infinity War,Movie,2018-04-27,8940.0,Action,1.0,68.0,8.4,1111680,tt4154756,321000000.0,2052415039.0,others
Disobedience,Movie,2018-04-27,6840.0,Drama,,74.0,6.6,32989,tt6108178,6000000.0,8003180.0,others
Backstabbing for Beginners,Movie,2018-04-27,6480.0,Drama,,48.0,6.3,5543,tt5153288,,367000.0,others
Adrift,Movie,2018-06-01,5760.0,Action,,56.0,6.6,58691,tt6306064,35000000.0,59945012.0,others
Upgrade,Movie,2018-06-01,6000.0,Action,,67.0,7.5,191614,tt6499752,5000000.0,16706680.0,others
American Animals,Movie,2018-08-14,6960.0,Biography,,68.0,7.0,46657,tt6212478,,4080073.0,others
Social Animals,Movie,2018-06-01,5400.0,Comedy,,37.0,5.3,1911,tt5639898,,5007.0,others
Won't You Be My Neighbor?,Movie,2018-06-29,5700.0,Documentary,,85.0,8.3,26289,tt7681902,,22844741.0,others
Hereditary,Movie,2018-06-08,7620.0,Drama,,87.0,7.3,335905,tt7784604,10000000.0,82530552.0,others
Hotel Artemis,Movie,2018-06-08,5640.0,Action,,58.0,6.1,55341,tt5834262,15000000.0,13313581.0,others
SuperFly,Movie,2018-06-13,6960.0,Action,,52.0,5.2,7325,tt7690670,16000000.0,20780685.0,others
Incredibles 2,Movie,2018-06-15,7080.0,Animation,1.0,80.0,7.6,306653,tt3606756,200000000.0,1243225667.0,others
Tag,Movie,2018-06-15,6000.0,Action,,56.0,6.5,138110,tt2854926,28000000.0,78130625.0,others
On Chesil Beach,Movie,2018-05-18,6600.0,Drama,,62.0,6.3,11787,tt1667321,,3338249.0,others
Gotti,Movie,2018-06-14,6720.0,Biography,,24.0,4.7,16128,tt1801552,10000000.0,6412349.0,others
Jurassic World: Fallen Kingdom,Movie,2018-06-22,7680.0,Action,,51.0,6.1,325229,tt4881806,170000000.0,1310466296.0,others
Boundaries,Movie,2018-09-13,6240.0,Comedy,,50.0,5.5,2472,tt5686062,,755977.0,others
Damsel,Movie,2018-06-22,6780.0,Comedy,,63.0,5.6,5570,tt5881528,,323235.0,others
The Domestics,Movie,2018-06-29,5700.0,Action,,,5.7,10269,tt5591666,9000000.0,59766.0,others
Sicario: Day of the Soldado,Movie,2018-06-29,7320.0,Action,,61.0,7.1,154760,tt5052474,35000000.0,75837743.0,others
Leave No Trace,Movie,2018-06-29,6540.0,Adventure,,88.0,7.1,61854,tt3892172,,7682928.0,others
Uncle Drew,Movie,2018-06-29,6180.0,Comedy,,57.0,5.8,15046,tt7334528,19000000.0,46664414.0,others
Woman Walks Ahead,Movie,2018-06-29,6060.0,Biography,,51.0,6.6,7739,tt5436228,,80912.0,others
Tully,Movie,2018-05-04,5700.0,Comedy,,75.0,6.9,60824,tt5610554,13000000.0,15636462.0,others
Bad Samaritan,Movie,2018-05-04,6600.0,Crime,,42.0,6.4,24637,tt3203528,,4623836.0,others
Life of the Party,Movie,2018-05-11,6300.0,Comedy,,46.0,5.6,38050,tt5619332,30000000.0,65859911.0,others
The Seagull,Movie,2018-07-26,5880.0,Comedy,,58.0,5.7,3776,tt4682136,,1820461.0,others
Terminal,Movie,2018-05-11,5700.0,Comedy,,27.0,5.3,23551,tt4463816,,843970.0,others
Deadpool 2,Movie,2018-05-18,7140.0,Action,,66.0,7.6,599660,tt5463162,110000000.0,785896609.0,others
Book Club,Movie,2018-05-18,6240.0,Comedy,,53.0,6.1,29190,tt6857166,10000000.0,104438188.0,others
First Reformed,Movie,2018-06-08,6780.0,Drama,1.0,85.0,7.1,58985,tt6053438,3500000.0,3862498.0,others
Pope Francis: A Man of His Word,Movie,2018-06-14,5760.0,Documentary,,63.0,6.5,2325,tt6915100,,8608385.0,others
Show Dogs,Movie,2018-05-18,5520.0,Adventure,,31.0,3.9,4871,tt5691024,5500000.0,39156854.0,others
Solo: A Star Wars Story,Movie,2018-05-25,8100.0,Action,1.0,62.0,6.9,357648,tt3778644,275000000.0,392924807.0,others
How to Talk to Girls at Parties,Movie,2018-05-25,6120.0,Comedy,,50.0,5.7,11739,tt3859310,,385733.0,others
In Darkness,Movie,2018-05-25,6600.0,Mystery,,59.0,5.7,13738,tt5164184,,,others
The Misandrists,Movie,2018-05-25,5460.0,Comedy,,56.0,5.0,504,tt5518756,,26123.0,others
The First Purge,Movie,2018-07-04,5820.0,Action,,54.0,5.2,66071,tt6133466,13000000.0,137056262.0,others
Ant-Man and the Wasp,Movie,2018-07-06,7080.0,Action,,70.0,7.0,419971,tt5095030,162000000.0,622674139.0,others
Sorry to Bother You,Movie,2018-07-13,6720.0,Comedy,,80.0,6.9,83103,tt5688932,3200000.0,18170707.0,others
Hotel Transylvania 3: Summer Vacation,Movie,2018-07-13,5820.0,Animation,,54.0,6.3,77988,tt5220122,80000000.0,528583774.0,others
Skyscraper,Movie,2018-07-13,6120.0,Action,,51.0,5.8,126015,tt5758778,125000000.0,304868961.0,others
Eighth Grade,Movie,2018-08-03,5580.0,Comedy,,89.0,7.4,78519,tt7014006,2000000.0,14347433.0,others
"Don't Worry, He Won't Get Far on Foot",Movie,2018-04-04,6840.0,Biography,,67.0,6.8,28598,tt6288124,,4241656.0,others
Shock and Awe,Movie,2018-07-20,5400.0,Biography,,47.0,6.4,7873,tt5540992,16450000.0,182415.0,others
Mamma Mia! Here We Go Again,Movie,2018-07-20,6840.0,Comedy,,60.0,6.6,99618,tt6911608,75000000.0,402264843.0,others
The Equalizer 2,Movie,2018-07-20,7260.0,Action,,50.0,6.7,167279,tt3766354,62000000.0,190400157.0,others
Blindspotting,Movie,2018-07-27,5700.0,Comedy,,77.0,7.4,31607,tt7242142,,5006989.0,others
Unfriended: Dark Web,Movie,2018-07-20,5520.0,Horror,,53.0,6.0,34816,tt4761916,1000000.0,16024987.0,others
Mission: Impossible - Fallout,Movie,2018-07-27,8820.0,Action,1.0,86.0,7.7,342325,tt4912910,178000000.0,791657398.0,others
Detective Dee: The Four Heavenly Kings,Movie,2018-07-27,7920.0,Action,,58.0,6.3,2852,tt6869538,,90040771.0,others
Hot Summer Nights,Movie,2018-07-27,6420.0,Crime,,44.0,6.4,20663,tt3416536,,246133.0,others
Puzzle,Movie,2018-09-07,6180.0,Drama,,66.0,6.7,8171,tt6933454,,2260946.0,others
Extinction,Movie,2018-07-27,5700.0,Action,,40.0,5.8,54763,tt3201640,,1451864.0,netflix
Christopher Robin,Movie,2018-08-03,6240.0,Adventure,1.0,60.0,7.2,80426,tt4575576,75000000.0,197744377.0,others
The Darkest Minds,Movie,2018-08-03,6240.0,Action,,39.0,5.7,33745,tt4073790,34000000.0,41142379.0,others
The Spy Who Dumped Me,Movie,2018-08-03,7020.0,Action,,52.0,6.0,79708,tt6663582,40000000.0,75339459.0,others
The Miseducation of Cameron Post,Movie,2018-09-07,5460.0,Comedy,,69.0,6.6,23894,tt6257174,,1474577.0,others
The Meg,Movie,2018-08-10,6780.0,Action,,46.0,5.6,176968,tt4779682,130000000.0,530517320.0,others
BlacKkKlansman,Movie,2018-08-10,8100.0,Biography,5.0,83.0,7.5,272219,tt7349662,15000000.0,93413709.0,others
Slender Man,Movie,2018-08-10,5580.0,Horror,,30.0,3.2,35694,tt5690360,10000000.0,51738549.0,others
A Prayer Before Dawn,Movie,2018-08-10,6960.0,Action,,76.0,6.8,24699,tt4080956,,958883.0,others
Crazy Rich Asians,Movie,2018-08-15,7200.0,Comedy,,74.0,6.9,178862,tt3104988,30000000.0,238843729.0,others
Alpha,Movie,2018-08-17,5760.0,Action,,63.0,6.6,64122,tt4244998,51000000.0,99630675.0,others
Mile 22,Movie,2018-08-17,5640.0,Action,,38.0,6.1,82593,tt4560436,50000000.0,66308758.0,others
The Wife,Movie,2018-09-28,5940.0,Drama,1.0,77.0,7.2,41077,tt3750872,,19978189.0,others
Billionaire Boys Club,Movie,2018-07-17,6480.0,Biography,,30.0,5.6,13869,tt5179598,15000000.0,2712606.0,others
"Juliet, Naked",Movie,2018-08-17,5820.0,Comedy,,67.0,6.6,23535,tt5607096,,4511157.0,others
Down a Dark Hall,Movie,2018-08-17,5760.0,Drama,,56.0,5.0,14471,tt2372251,,2707199.0,others
The Happytime Murders,Movie,2018-08-24,5460.0,Action,,27.0,5.4,29232,tt1308728,40000000.0,27506452.0,others
Searching,Movie,2018-08-31,6120.0,Drama,,71.0,7.6,170139,tt7668870,880000.0,75462037.0,others
Operation Finale,Movie,2018-08-29,7320.0,Biography,,58.0,6.6,44856,tt5208252,24000000.0,17612099.0,others
Kin,Movie,2018-08-31,6120.0,Action,,35.0,5.8,17803,tt6017942,30000000.0,10313019.0,others
The Little Stranger,Movie,2018-09-21,6660.0,Drama,,67.0,5.5,10291,tt6859762,,1824902.0,others
The Nun,Movie,2018-09-07,5760.0,Horror,,46.0,5.3,146507,tt5814060,22000000.0,365582797.0,others
Peppermint,Movie,2018-09-07,6060.0,Action,,29.0,6.5,67012,tt6850820,25000000.0,53918723.0,others
The Predator,Movie,2018-09-14,6420.0,Action,,48.0,5.3,136994,tt3829266,88000000.0,160542134.0,others
White Boy Rick,Movie,2018-09-14,6660.0,Crime,,59.0,6.5,39605,tt4537896,29000000.0,25957482.0,others
A Simple Favor,Movie,2018-09-14,7020.0,Comedy,,67.0,6.8,153724,tt7040874,20000000.0,97644617.0,others
The Children Act,Movie,2018-09-14,6300.0,Drama,,62.0,6.7,14075,tt6040662,,17696794.0,others
Lizzie,Movie,2018-09-14,6300.0,Biography,,59.0,5.9,8572,tt5160938,,844786.0,others
Unbroken: Path to Redemption,Movie,2018-09-14,5880.0,Biography,,39.0,5.8,3311,tt7339792,6000000.0,6216897.0,others
The House with a Clock in Its Walls,Movie,2018-09-21,6300.0,Comedy,,57.0,6.0,53225,tt2119543,42000000.0,131523093.0,others
Life Itself,Movie,2018-09-21,7020.0,Drama,,21.0,6.9,23084,tt5989218,10000000.0,7997774.0,others
The Sisters Brothers,Movie,2018-10-19,7320.0,Drama,,78.0,6.9,67010,tt4971344,38000000.0,13143056.0,others
Assassination Nation,Movie,2018-09-21,6480.0,Action,,56.0,6.0,20562,tt6205872,7000000.0,2584988.0,others
Little Italy,Movie,2018-09-21,6120.0,Comedy,,28.0,5.7,16098,tt6957966,8000000.0,1362536.0,others
Colette,Movie,2019-01-09,6660.0,Biography,,74.0,6.7,24897,tt5437928,,14273033.0,others
Fahrenheit 11/9,Movie,2018-09-21,7680.0,Documentary,,69.0,7.1,19873,tt8632862,5000000.0,6674168.0,others
My Son,Movie,2021-09-15,5700.0,Crime,,,6.0,13105,tt13234058,,962689.0,others
My Hero Academia: Two Heroes,Movie,2018-09-25,5760.0,Animation,,,7.3,11366,tt7745068,,21022724.0,others
Smallfoot,Movie,2018-09-28,5760.0,Animation,,60.0,6.6,41041,tt6182908,80000000.0,214115531.0,others
Night School,Movie,2018-09-28,6660.0,Comedy,,43.0,5.6,42122,tt6781982,29000000.0,103105878.0,others
Power of the Air,Movie,2018-10-02,5400.0,Drama,,,6.9,99,tt3554938,,,others
Venom,Movie,2018-10-05,6720.0,Action,,35.0,6.6,500462,tt1270797,100000000.0,856085151.0,others
A Star Is Born,Movie,2018-10-05,8160.0,Drama,7.0,88.0,7.6,395248,tt1517451,36000000.0,436233122.0,others
The Happy Prince,Movie,2018-10-10,6300.0,Biography,,64.0,6.2,5522,tt2404639,,2621992.0,others
First Man,Movie,2018-10-12,8460.0,Biography,3.0,84.0,7.3,192956,tt1213641,59000000.0,105713218.0,others
Bad Times at the El Royale,Movie,2018-10-12,8460.0,Crime,,60.0,7.1,155150,tt6628394,32000000.0,31882724.0,others
Beautiful Boy,Movie,2018-10-25,7200.0,Biography,1.0,62.0,7.3,84837,tt1226837,25000000.0,31711319.0,others
The Oath,Movie,2018-10-19,5580.0,Comedy,,58.0,5.6,4838,tt7461200,,403852.0,others
Gosnell: The Trial of America's Biggest Serial Killer,Movie,2018-10-12,5580.0,Crime,,,6.5,4650,tt3722234,,3679893.0,others
After Everything,Movie,2018-10-12,5700.0,Comedy,,67.0,6.4,1808,tt6688022,,2222.0,others
The Hate U Give,Movie,2018-10-19,7980.0,Crime,,81.0,7.5,37820,tt5580266,23000000.0,34934009.0,others
Can You Ever Forgive Me?,Movie,2018-11-02,6360.0,Biography,3.0,87.0,7.1,53888,tt4595882,10000000.0,12442161.0,others
Wildlife,Movie,2019-01-01,6300.0,Drama,,80.0,6.8,29930,tt5929754,,3321367.0,others
What They Had,Movie,2018-11-29,6060.0,Drama,,69.0,6.7,4489,tt6662736,,533579.0,others
Hunter Killer,Movie,2018-10-26,7260.0,Action,,43.0,6.6,66474,tt1846589,40000000.0,31676128.0,others
Bullitt County,Movie,2018-10-26,5880.0,Action,,50.0,4.7,562,tt6140148,,11257.0,others
Bohemian Rhapsody,Movie,2018-11-02,8040.0,Biography,1.0,49.0,7.9,552213,tt1727824,52000000.0,910809311.0,others
The Nutcracker and the Four Realms,Movie,2018-11-02,5940.0,Adventure,,39.0,5.6,35241,tt5523010,120000000.0,173961069.0,others
Boy Erased,Movie,2018-11-08,6900.0,Biography,,69.0,6.9,40108,tt7008872,11000000.0,11853081.0,others
A Private War,Movie,2018-11-16,6600.0,Biography,,75.0,6.7,20072,tt2368254,18800000.0,3915207.0,others
Bodied,Movie,2018-11-02,7200.0,Comedy,,75.0,7.1,5834,tt5883570,,113956.0,others
The Front Runner,Movie,2018-11-21,6780.0,Biography,,61.0,6.1,13679,tt7074886,,3242235.0,others
The Girl in the Spider's Web,Movie,2018-11-09,6900.0,Action,,43.0,6.1,49252,tt5177088,43000000.0,35164920.0,others
Overlord,Movie,2018-11-09,6600.0,Action,,60.0,6.6,102079,tt4530422,38000000.0,41657844.0,others
The Ballad of Buster Scruggs,Movie,2018-11-09,7980.0,Comedy,3.0,79.0,7.3,154283,tt6412452,,,netflix
Fantastic Beasts: The Crimes of Grindelwald,Movie,2018-11-16,8040.0,Adventure,2.0,52.0,6.5,291815,tt4123430,200000000.0,654855901.0,others
Widows,Movie,2018-11-16,7740.0,Crime,1.0,84.0,6.8,100410,tt4218572,42000000.0,75984700.0,others
Green Book,Movie,2018-11-16,7800.0,Biography,2.0,69.0,8.2,512922,tt6966692,23000000.0,321752656.0,others
Instant Family,Movie,2018-11-16,7080.0,Comedy,,57.0,7.3,111124,tt7401588,48000000.0,120989656.0,others
Ralph Breaks the Internet,Movie,2018-11-23,6720.0,Animation,1.0,71.0,7.0,167995,tt5848272,175000000.0,529323962.0,others
Creed II,Movie,2018-11-21,7800.0,Action,,66.0,7.1,141781,tt6343314,50000000.0,214215889.0,others
Roma,Movie,2018-12-14,8100.0,Drama,7.0,96.0,7.7,162840,tt6155172,,1140769.0,netflix
The Favourite,Movie,2018-12-21,7140.0,Biography,9.0,91.0,7.5,206734,tt5083738,15000000.0,95918706.0,others
Mowgli: Legend of the Jungle,Movie,2018-12-07,6240.0,Adventure,,51.0,6.5,63602,tt2388771,,,netflix
Anna and the Apocalypse,Movie,2018-11-30,5580.0,Comedy,,63.0,6.0,14393,tt6433880,,673523.0,others
Capernaum,Movie,2018-09-20,7560.0,Drama,1.0,75.0,8.4,93927,tt8267604,4000000.0,64417003.0,others
Mary Queen of Scots,Movie,2018-12-21,7440.0,Biography,2.0,60.0,6.3,52440,tt2328900,25000000.0,46712809.0,others
Ben Is Back,Movie,2018-12-05,6180.0,Drama,,66.0,6.7,22925,tt7545524,13000000.0,10134204.0,others
Spider-Man: Into the Spider-Verse,Movie,2018-12-14,7020.0,Animation,0.0,87.0,8.4,554055,tt4633694,90000000.0,384256930.0,others
Mortal Engines,Movie,2018-12-14,7680.0,Action,,44.0,6.1,130118,tt1571234,100000000.0,83869818.0,others
The Mule,Movie,2018-12-14,6960.0,Crime,,58.0,7.0,142119,tt7959026,50000000.0,174804407.0,others
If Beale Street Could Talk,Movie,2018-12-25,7140.0,Drama,2.0,87.0,7.1,50467,tt7125860,12000000.0,20596567.0,others
Mary Poppins Returns,Movie,2018-12-19,7800.0,Adventure,4.0,66.0,6.7,90794,tt5028340,130000000.0,349546142.0,others
Aquaman,Movie,2018-12-21,8580.0,Action,,55.0,6.8,487401,tt1477834,160000000.0,1148528393.0,others
Bumblebee,Movie,2018-12-21,6840.0,Action,,66.0,6.7,171961,tt4701182,135000000.0,467989645.0,others
Welcome to Marwen,Movie,2018-12-21,6960.0,Biography,,40.0,6.2,24816,tt3289724,39000000.0,13061491.0,others
Second Act,Movie,2018-12-21,6180.0,Comedy,,46.0,5.8,28739,tt2126357,16000000.0,72294066.0,others
Vice,Movie,2018-12-25,7920.0,Biography,7.0,61.0,7.2,152709,tt6266538,60000000.0,76073488.0,others
On the Basis of Sex,Movie,2019-01-11,7200.0,Biography,,59.0,7.1,35918,tt4669788,20000000.0,38755900.0,others
Destroyer,Movie,2018-12-27,7260.0,Action,,62.0,6.2,30563,tt7137380,9000000.0,5580940.0,others
Black Mirror: Bandersnatch,Movie,2018-12-28,5400.0,Drama,0.0,,7.1,129602,tt9495224,,,others
Escape Room,Movie,2019-01-04,5940.0,Action,,48.0,6.4,128578,tt5886046,9000000.0,155712077.0,others
Rust Creek,Movie,2019-01-04,6480.0,Crime,,59.0,5.9,12327,tt6610158,,,others
American Hangman,Movie,2019-01-04,5940.0,Crime,,38.0,5.9,3652,tt8975028,,,others
A Dog's Way Home,Movie,2019-01-11,5760.0,Adventure,,50.0,6.7,18919,tt7616798,18000000.0,80708134.0,others
The Upside,Movie,2019-01-11,7560.0,Comedy,,46.0,7.0,58560,tt1987680,37500000.0,125856180.0,others
Replicas,Movie,2019-01-11,6420.0,Drama,,19.0,5.4,39978,tt4154916,30000000.0,9330075.0,others
After Darkness,Movie,2019-01-15,5880.0,Drama,,,3.7,1174,tt2728784,,,others
Glass,Movie,2019-01-18,7740.0,Drama,,43.0,6.6,251594,tt6823368,20000000.0,246999039.0,others
Close,Movie,2019-01-18,5640.0,Action,,51.0,5.7,25777,tt5316540,,60040.0,others
The Final Wish,Movie,2019-01-24,5700.0,Horror,,,4.3,6926,tt9109306,,95215.0,others
The Kid Who Would Be King,Movie,2019-01-25,7200.0,Action,,66.0,6.1,17664,tt6811018,59000000.0,32140970.0,others
I Am Mother,Movie,2019-06-07,6780.0,Drama,,64.0,6.7,94081,tt6292852,,643593.0,others
The Vast of Night,Movie,2020-05-29,5460.0,Drama,,84.0,6.7,41380,tt6803046,,,amazon
Miss Bala,Movie,2019-02-01,6240.0,Action,,41.0,5.8,11937,tt5941692,15000000.0,15383580.0,others
Velvet Buzzsaw,Movie,2019-02-01,6780.0,Horror,,61.0,5.7,63293,tt7043012,,,netflix
The Lego Movie 2: The Second Part,Movie,2019-02-08,6420.0,Animation,,65.0,6.6,70130,tt3513498,99000000.0,199603202.0,others
What Men Want,Movie,2019-02-08,7020.0,Comedy,,49.0,5.3,28767,tt7634968,20000000.0,72216294.0,others
Cold Pursuit,Movie,2019-02-08,7140.0,Action,,57.0,6.2,72016,tt5719748,60000000.0,76419755.0,others
High Flying Bird,Movie,2019-02-08,5400.0,Drama,,78.0,6.2,8958,tt8128188,2000000.0,,netflix
The Prodigy,Movie,2019-02-08,5520.0,Fantasy,,45.0,5.9,27328,tt4504044,6000000.0,21127789.0,others
Happy Death Day 2U,Movie,2019-02-13,6000.0,Comedy,,57.0,6.2,78667,tt8155288,9000000.0,64600152.0,others
